Title,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,pub_type,Year,Source,Publisher,Type,DOI,ISSN,Volume,Issue,phase
Community detection and reciprocity in networks by jointly modelling pairs of edges,no,no,no,,,,,2022,Journal of Complex …,academic.oup.com,NA,NA,NA,NA,NA,first_phase
Southwestern bats and their external bacteria,yes,no,no,,,,,2021,Western North American …,BioOne,NA,10.3398/064.081.0206.short,NA,NA,NA,first_phase
Characterising the Tasmanian devil (Sarcophilus harrisii) pouch microbiome in lactating and non-lactating females,no,no,no,,,,,2024,Scientific Reports,nature.com,HTML,NA,NA,NA,NA,first_phase
Time will tell: Taxonomic and functional diversity of monilophyte ferns in native forests and abandoned silviculture systems,no,no,no,,,,,2024,Austral Ecology,Wiley Online Library,NA,10.1111/aec.13471,NA,NA,NA,first_phase
"FUNGI FROM DEAD ARTHROPODS AND BATS OF GOMANTONG CAVE, NORTHERN BORNEO, SABAH (MALAYSIA).",no,no,no,,,,,2020,Journal of Cave & …,legacy.caves.org,PDF,NA,NA,NA,NA,first_phase
Circular RNA-and microRNA-mediated post-transcriptional regulation of preadipocyte differentiation in adipogenesis: from expression profiling to signaling …,no,no,no,,,,,2023,International Journal of Molecular Sciences,mdpi.com,HTML,NA,NA,NA,NA,first_phase
Ecological processes and human behavior provide a framework for studying the skin microbial metacommunity,no,no,no,,,,,2022,Microbial ecology,Springer,NA,10.1007/s00248-021-01884-8,NA,NA,NA,first_phase
"The microbiota: a key regulator of health, productivity, and reproductive success in mammals",no,no,no,,,,,2024,Frontiers in …,frontiersin.org,NA,10.3389/fmicb.2024.1480811,NA,NA,NA,first_phase
The skin microbiome of vertebrates,no,no,no,,,,,2019,Microbiome,Springer,HTML,10.1186/s40168-019-0694-6,NA,NA,NA,first_phase
"Are microclimate conditions in El Malpais National Monument caves in New Mexico, USA suitable for Pseudogymnoascus growth?",no,no,no,,,,,2019,International …,digitalcommons.usf.edu,NA,NA,NA,NA,NA,first_phase
The Virtues of Command and Control Regulation: Barring Exotic Species from Aquatic Ecosystems,no,no,no,,,,,2000,U. Ill. L. Rev.,HeinOnline,NA,NA,NA,NA,NA,first_phase
Beyond Wallace's line–dispersal of Oriental and Australo-Papuan land-snails across the Indo-Australian Archipelago,no,no,no,,,,,2019,Zoological Journal of the Linnean Society,academic.oup.com,NA,NA,NA,NA,NA,first_phase
The Gesneraceae of the Malay Peninsula,no,no,no,,,,,1905,Journal of the Straits Branch of the Royal Asiatic …,JSTOR,NA,NA,NA,NA,NA,first_phase
Impact of grazing on soil nutrients in a Pampean grassland.,no,no,no,,,,,1996,Rangeland Ecology & …,journals.uair.arizona.edu,PDF,NA,NA,NA,NA,first_phase
"DarkCideS 1.0, a global database for bats in karsts and caves",yes,no,yes,yes,yes,no,database,2022,Scientific Data,NA,NA,10.1038/s41597-022-01234-4,2052-4463,9,1,second_phase
A species-level trait dataset of bats in Europe and beyond,yes,yes,yes,yes,yes,no,database,2023,Scientific Data,NA,NA,10.1038/s41597-023-02157-4,2052-4463,10,1,second_phase
A dataset on African bats' functional traits,yes,yes,yes,yes,yes,no,database,2023,Scientific Data,NA,NA,10.1038/s41597-023-02472-w,2052-4463,10,1,second_phase
A database of common vampire bat reports,yes,no,yes,yes,yes,no,database,2022,Scientific Data,NA,NA,10.1038/s41597-022-01140-9,2052-4463,9,1,second_phase
DBatVir: the database of bat-associated viruses,yes,no,yes,yes,yes,no,database,2014,Database,NA,NA,10.1093/database/bau021,1758-0463,2014,NA,second_phase
Geographic data for Neotropical bats (Chiroptera),yes,no,yes,no,yes,,review,2014,Revista de Biología Tropical,NA,NA,NA,0034-7744,62,1,second_phase
The Sonozotz project: Assembling an echolocation call library for bats in a megadiverse country,yes,no,yes,yes,no,no,database,2020,Ecology and Evolution,NA,NA,10.1002/ece3.6245,2045-7758,10,11,second_phase
A Standardized Review of Bat Names Across Multiple Taxonomic Authorities,yes,no,yes,yes,yes,no,review,2024,Arizona State University,NA,NA,10.5281/zenodo.7915721,NA,NA,NA,second_phase
BatFly: A database of Neotropical bat-fly interactions,yes,no,yes,yes,yes,no,database,2024,Ecology,NA,NA,10.1002/ecy.4249,1939-9170,105,3,second_phase
ChiroVox: a public library of bat calls,yes,no,yes,yes,yes,no,database,2022,PeerJ,NA,NA,10.7717/peerj.12445,NA,10,NA,second_phase
"Bat Biology, Genomes, and the Bat1K Project: To Generate Chromosome-Level Genomes for All Living Bat Species",yes,no,yes,yes,yes,no,database,2018,Annual Review of Animal Biosciences,NA,NA,10.1146/annurev-animal-022516-022811,2165-8110,6,NA,second_phase
Updated distribution maps for neotropical bats in the superfamily Noctilionoidea,yes,no,yes,yes,yes,no,review,2018,Ecology,NA,NA,10.1002/ecy.2404,1939-9170,99,9,second_phase
NeoBat Interactions: A data set of bat-plant interactions in the Neotropics,yes,no,yes,yes,yes,no,database,2022,Ecology,NA,NA,10.1002/ecy.3640,1939-9170,103,4,second_phase
Integrating multiple evidences in taxonomy: species diversity and phylogeny of mustached bats (Mormoopidae: <i>Pteronotus</i>),yes,no,no,,,,,2016,Molecular Phylogenetics and Evolution,NA,NA,10.1016/j.ympev.2016.07.011,1055-7903,103,NA,second_phase
A review of the major threats and challenges to global bat conservation,yes,no,yes,yes,yes,yes,review,2020,Annals of the New York Academy of Sciences,NA,NA,10.1111/nyas.14045,"0077-8923, 1749-6632",1469,1,second_phase
"Climate is changing, are European bats too? A multispecies analysis of trends in body size",yes,no,yes,yes,yes,no,article,2024,Ecology and Evolution,NA,NA,10.1002/ece3.10872,2045-7758,14,2,second_phase
Bats and their vital ecosystem services: a global review,yes,no,yes,yes,yes,no,review,2022,Integrative Zoology,NA,NA,10.1111/1749-4877.12552,1749-4877,17,1,second_phase
Migration and dispersal patterns of bats and their influence on genetic structure,yes,no,yes,yes,no,no,review,2013,Mammal Review,NA,NA,10.1111/j.1365-2907.2012.00218.x,"0305-1838, 1365-2907",43,3,second_phase
"Macroecological patterns of mammals across taxonomic, spatial, and temporal scales",no,no,yes,yes,no,no,review,2019,Journal of Mammalogy,NA,NA,10.1093/jmammal/gyy171,0022-2372,100,3,second_phase
Ecosystem services provided by bats,yes,no,yes,no,no,,review,2011,Annals of the New York Academy of Sciences,NA,NA,10.1111/j.1749-6632.2011.06004.x,1749-6632,1223,1,second_phase
Limitations and gaps in global bat wing morphology trait data,yes,yes,yes,yes,yes,no,review,2022,Mammal Review,NA,NA,10.1111/mam.12270,1365-2907,52,2,second_phase
Socioeconomic benefits associated with bats,yes,no,yes,no,no,,review,2024,Journal of Ethnobiology and Ethnomedicine,NA,NA,10.1186/s13002-024-00720-w,1746-4269,20,1,second_phase
Global Medicinal Use of Bats: A Systematic Literature and Social Media Review,yes,no,yes,yes,yes,no,review,2022,Diversity,NA,NA,10.3390/d14030179,1424-2818,14,3,second_phase
Is banning Persistent Organic Pollutants efficient? A quantitative and qualitative systematic review in bats,yes,no,yes,yes,yes,no,review,2024,Perspectives in Ecology and Conservation,NA,NA,10.1016/j.pecon.2024.07.001,2530-0644,22,3,second_phase
Bat mating systems:A review and recategorisation,yes,no,yes,yes,yes,no,review,2024,Ecology and Evolution,NA,NA,10.1002/ece3.70149,2045-7758,14,8,second_phase
A global review of landscape-scale analyses in bats reveals geographic and taxonomic biases and opportunities for novel research,yes,no,yes,no,yes,,review,2024,Biological Conservation,NA,NA,10.1016/j.biocon.2024.110829,0006-3207,299,NA,second_phase
Bats and pollution: Genetic approaches in ecotoxicology,yes,no,yes,yes,yes,no,review,2022,Chemosphere,NA,NA,10.1016/j.chemosphere.2022.135934,0045-6535,307,NA,second_phase
The state of the bats in North America,yes,no,yes,yes,no,no,report,2024,Annals of the New York Academy of Sciences,NA,NA,10.1111/nyas.15225,1749-6632,n/a,n/a,second_phase
Estado del arte del conocimiento de biodiversidad de los polinizadores de M�xico,no,no,yes,yes,yes,no,review,2022,Revista Mexicana de Biodiversidad,NA,NA,10.22201/ib.20078706e.2022.93.3948,2007-8706,93,NA,second_phase
Bats and fire: a global review,yes,no,no,,,,,2021,Fire Ecology,NA,NA,10.1186/s42408-021-00109-0,1933-9747,17,1,second_phase
Multiple mortality events in bats: a global review,yes,no,yes,yes,yes,no,review,2016,Mammal Review,NA,NA,10.1111/mam.12064,1365-2907,46,3,second_phase
Bats as bushmeat: a global review,yes,no,yes,yes,yes,no,review,2009,Oryx,NA,NA,10.1017/S0030605308000938,"1365-3008, 0030-6053",43,2,second_phase
Complex echo classification by echo-locating bats: a review,yes,no,no,,,,,2011,Journal of Comparative Physiology A,NA,NA,10.1007/s00359-010-0584-7,1432-1351,197,5,second_phase
Bats of the Philippine Islands—A review of research directions and relevance to national-level priorities and targets,yes,no,no,,,,,2018,Mammalian Biology,NA,NA,10.1016/j.mambio.2018.03.005,1618-1476,91,1,second_phase
Long-term field studies in bat research: importance for basic and applied research questions in animal behavior,yes,no,no,,,,,2022,Behavioral Ecology and Sociobiology,NA,NA,10.1007/s00265-022-03180-y,1432-0762,76,6,second_phase
Ageing Studies on Bats: A Review,yes,no,no,,,,,2004,Biogerontology,NA,NA,10.1023/B:BGEN.0000038022.65024.d8,1573-6768,5,4,second_phase
Bat responses to climate change: a systematic review,yes,no,no,,,,,2023,Biological Reviews,NA,NA,10.1111/brv.12893,1469-185X,98,1,second_phase
Bats as prey of diurnal birds: a global perspective,yes,no,yes,yes,yes,no,review,2016,Mammal Review,NA,NA,10.1111/mam.12060,1365-2907,46,3,second_phase
Interspecific competition in bats: state of knowledge and research challenges,yes,no,yes,yes,yes,no,review,2020,Mammal Review,NA,NA,10.1111/mam.12180,1365-2907,50,1,second_phase
Effective conservation of subterranean-roosting bats,yes,no,yes,yes,yes,no,review,2024,Conservation Biology,NA,NA,10.1111/cobi.14157,1523-1739,38,1,second_phase
Roads and bats: a meta-analysis and review of the evidence on vehicle collisions and barrier effects,yes,no,yes,yes,yes,no,review,2016,Mammal Review,NA,NA,10.1111/mam.12072,1365-2907,46,4,second_phase
"COVID-19, media coverage of bats and related Web searches: a turning point for bat conservation?",yes,no,no,,,,,2022,Mammal Review,NA,NA,10.1111/mam.12261,1365-2907,52,1,second_phase
Cats Felis catus as a threat to bats worldwide: a review of the evidence,yes,no,yes,yes,yes,no,review,2021,Mammal Review,NA,NA,10.1111/mam.12240,1365-2907,51,3,second_phase
We eat meat: a review of carnivory in bats,yes,no,yes,yes,yes,no,review,2021,Mammal Review,NA,NA,10.1111/mam.12254,1365-2907,51,4,second_phase
Insular bats and research effort: a review of global patterns and priorities,yes,no,yes,no,yes,,review,2017,Mammal Review,NA,NA,10.1111/mam.12090,1365-2907,47,3,second_phase
Intrinsic and extrinsic factors affecting dietary specialization in Neotropical frugivorous bats,yes,no,no,,,,,2014,Mammal Review,NA,NA,10.1111/mam.12024,1365-2907,44,03-abr,second_phase
Trophic structure of frugivorous bats in the Neotropics: emergent patterns in evolutionary history,yes,no,yes,yes,yes,no,review,2018,Mammal Review,NA,NA,10.1111/mam.12116,1365-2907,48,2,second_phase
Redefining the study of sexual dimorphism in bats: following the odour trail,yes,no,yes,yes,yes,no,review,2021,Mammal Review,NA,NA,10.1111/mam.12232,1365-2907,51,2,second_phase
Does body mass restrict call peak frequency in echolocating bats?,yes,no,yes,yes,yes,no,review,2020,Mammal Review,NA,NA,10.1111/mam.12196,1365-2907,50,3,second_phase
Effects of land-use changes on Brazilian bats: a review of current knowledge,yes,no,no,,,,,2021,Mammal Review,NA,NA,10.1111/mam.12227,1365-2907,51,1,second_phase
Chromatic disorders in bats: a review of pigmentation anomalies and the misuse of terms to describe them,yes,no,yes,yes,yes,no,review,2017,Mammal Review,NA,NA,10.1111/mam.12083,1365-2907,47,2,second_phase
The threat of invasive species to bats: a review,yes,no,yes,yes,yes,no,review,2017,Mammal Review,NA,NA,10.1111/mam.12099,1365-2907,47,4,second_phase
Bats and aquatic habitats: a review of habitat use and anthropogenic impacts,yes,no,yes,yes,yes,no,review,2016,Mammal Review,NA,NA,10.1111/mam.12059,1365-2907,46,2,second_phase
Identifying unusual mortality events in bats: a baseline for bat hibernation monitoring and white-nose syndrome research,yes,no,yes,yes,yes,no,article,2018,Mammal Review,NA,NA,10.1111/mam.12122,1365-2907,48,3,second_phase
Roost site selection by tree-dwelling bats across biogeographical regions: an updated meta-analysis with meta-regression,yes,no,yes,yes,yes,no,review,2015,Mammal Review,NA,NA,10.1111/mam.12044,1365-2907,45,4,second_phase
Bat ecology and conservation in semi-arid and arid landscapes: a global systematic review,yes,no,yes,no,yes,,review,2020,Mammal Review,NA,NA,10.1111/mam.12175,1365-2907,50,1,second_phase
In the shadow of the rising sun: a systematic review of Japanese bat research and conservation,yes,no,yes,yes,yes,no,review,2021,Mammal Review,NA,NA,10.1111/mam.12226,1365-2907,51,1,second_phase
Bats and bat-borne diseases: a perspective on Australian megabats,yes,no,yes,yes,no,no,review,2013,Australian Journal of Zoology,NA,NA,10.1071/ZO12126,1446-5698,61,1,second_phase
Bats learn about potential food sources from others: a review,yes,no,no,,,,,2023,Canadian Journal of Zoology,NA,NA,10.1139/cjz-2022-0119,0008-4301,101,5,second_phase
Systematic Review of the Roost-Site Characteristics of North American Forest Bats: Implications for Conservation,yes,no,yes,yes,yes,no,review,2020,Diversity,NA,NA,10.3390/d12020076,1424-2818,12,2,second_phase
Research trends on bats in China: A twenty-first century review,yes,no,yes,no,yes,,review,2019,Mammalian Biology,NA,NA,10.1016/j.mambio.2019.09.002,1616-5047,98,NA,second_phase
Bat echolocation in continental China: a systematic review and first acoustic identification key for the country,yes,no,yes,yes,no,no,review,2021,Mammal Research,NA,NA,10.1007/s13364-021-00570-x,2199-241X,66,3,second_phase
The calls of Vietnamese bats: a major step toward the acoustic characterization of Asian bats,yes,no,yes,yes,yes,no,review,2024,Scientific Reports,NA,NA,10.1038/s41598-024-72436-6,2045-2322,14,1,second_phase
"Collection of voucher specimens for bat research: conservation, ethical implications, reduction, and alternatives",yes,no,yes,no,yes,,review,2017,Mammal Review,NA,NA,10.1111/mam.12095,1365-2907,47,4,second_phase
Non-kin cooperation in bats,yes,no,no,,,,,2016,Philosophical Transactions of the Royal Society B: Biological Sciences,NA,NA,10.1098/rstb.2015.0095,NA,371,1687,second_phase
Economic value of bat predation services: A review and new estimates from macadamia orchards,yes,no,yes,yes,yes,no,review,2018,Ecosystem Services,NA,NA,10.1016/j.ecoser.2017.11.015,2212-0416,30,NA,second_phase
Habitat management for forest-roosting bats of North America: A critical review of habitat studies,yes,no,yes,no,no,,review,2003,Wildlife Society Bulletin,NA,NA,NA,0091-7648,31,1,second_phase
Effects of climate change on life-history traits in hibernating mammals,no,yes,yes,yes,no,no,review,2023,Mammal Review,NA,NA,10.1111/mam.12308,1365-2907,53,2,second_phase
A review of the breeding biology of Chiroptera,no,no,yes,yes,yes,no,review,2021,Mammal Review,NA,NA,10.1111/mam.12236,1365-2907,51,3,second_phase
"Heterothermy, body size, and locomotion as ecological predictors of migration in mammals",no,no,yes,yes,yes,no,review,2022,Mammal Review,NA,NA,10.1111/mam.12263,1365-2907,52,1,second_phase
Ecology of bats and their role in emerging zoonotic diseases: a review,yes,no,no,,,,,2020,Revue Scientifique Et Technique (International Office of Epizootics),NA,NA,10.20506/rst.39.3.3198,0253-1933,39,3,second_phase
Thinking outside the box: A review of artificial roosts for bats,yes,no,yes,yes,no,no,review,2014,Wildlife Society Bulletin - Record Set Up In Error,NA,NA,10.1002/wsb.461,1938-5463,38,4,second_phase
Activity following arousal in winter in North American vespertilionid bats,yes,no,yes,yes,no,no,review,2006,Mammal Review,NA,NA,10.1111/j.1365-2907.2006.00095.x,1365-2907,36,4,second_phase
Interindividual communication by bats via echolocation,yes,no,yes,yes,no,no,review,2023,Canadian Journal of Zoology,NA,NA,10.1139/cjz-2022-0121,0008-4301,101,3,second_phase
Use of synanthropic roosts by bats in Europe and North America,yes,no,yes,yes,no,no,review,2024,Mammal Review,NA,NA,10.1111/mam.12380,1365-2907,n/a,n/a,second_phase
Ethnobiology of Bats: Exploring Human-Bat Inter-Relationships in a Rapidly Changing World,yes,no,yes,no,no,,review,2021,Journal of Ethnobiology,NA,NA,10.2993/0278-0771-41.1.3,"0278-0771, 2162-4496",41,1,second_phase
Robust evidence for bats as reservoir hosts is lacking in most African virus studies: a review and call to optimize sampling and conserve bats,yes,no,yes,yes,yes,no,review,2023,Biology Letters,NA,NA,10.1098/rsbl.2023.0358,NA,19,11,second_phase
Evolution of Body Mass in Bats: Insights from a Large Supermatrix Phylogeny,yes,no,yes,yes,yes,no,review,2020,Journal of Mammalian Evolution,NA,NA,10.1007/s10914-018-9447-8,1573-7055,27,1,second_phase
Ecological and evolutionary characteristics of anthropogenic roosting ability in bats of the world,yes,no,yes,yes,yes,no,review,2024,iScience,NA,NA,10.1016/j.isci.2024.110369,2589-0042,27,7,second_phase
A global assessment of the 'island rule' in bats based on functionally distinct measures of body size,yes,no,yes,yes,yes,no,review,2023,Journal of Biogeography,NA,NA,10.1111/jbi.14624,1365-2699,50,7,second_phase
"Exploration of the morphology and functional implications of the forelimb in bats (Mammalia, Chiroptera) from the Neotropical region",yes,no,yes,yes,yes,no,article,2023,Zoomorphology,NA,NA,10.1007/s00435-022-00588-y,1432-234X,142,2,second_phase
Mountains host significantly more data deficient and threatened bat species than lowlands,yes,no,yes,yes,yes,yes,review,2024,Biodiversity and Conservation,NA,NA,10.1007/s10531-024-02958-y,1572-9710,NA,NA,second_phase
Quantifying the completeness of the bat fossil record,yes,no,yes,no,yes,,review,2019,Palaeontology,NA,NA,10.1111/pala.12426,1475-4983,62,5,second_phase
The relationship between wing morphology and foraging guilds: exploring the evolution of wing ecomorphs in bats,yes,no,yes,yes,no,no,article,2024,Biological Journal of the Linnean Society,NA,NA,10.1093/biolinnean/blad157,0024-4066,142,4,second_phase
Ecological Morphology of Neotropical Bat Wing Structures,yes,no,yes,yes,yes,no,article,2020,Zoological Studies,NA,NA,10.6620/ZS.2020.59-60,NA,無,59,second_phase
Bats and wetlands: synthesising gaps in current knowledge and future opportunities for conservation,yes,no,yes,no,yes,,review,2021,Mammal Review,NA,NA,10.1111/mam.12243,1365-2907,51,3,second_phase
Latitudinal gradients in the ecology of New World bats,yes,no,yes,yes,yes,no,review,2019,Global Ecology and Biogeography,NA,NA,10.1111/geb.12892,1466-8238,28,6,second_phase
Spatial and taxonomic biases in bat records: Drivers and conservation implications in a megadiverse country,yes,no,yes,no,yes,,review,2019,Ecology and Evolution,NA,NA,10.1002/ece3.5848,2045-7758,9,24,second_phase
Mapping global conservation priorities and habitat vulnerabilities for cave-dwelling bats in a changing world,yes,no,yes,yes,yes,yes,review,2022,Science of The Total Environment,NA,NA,10.1016/j.scitotenv.2022.156909,0048-9697,843,NA,second_phase
Impacts of artificial lighting on bats: a review of challenges and solutions,yes,no,yes,no,no,,review,2015,Mammalian Biology,NA,NA,10.1016/j.mambio.2015.02.004,1616-5047,80,3,second_phase
Mitigating the impacts of agriculture on biodiversity: bats and their potential role as bioindicators,yes,no,yes,no,no,,review,2015,Mammalian Biology,NA,NA,10.1016/j.mambio.2014.10.004,1616-5047,80,3,second_phase
"Scale-dependent influences of environmental, historical, and spatial processes on taxonomic and functional beta diversity of Japanese bat assemblages",yes,no,yes,yes,yes,no,review,2024,Ecology and Evolution,NA,NA,10.1002/ece3.11277,2045-7758,14,4,second_phase
A synthesis of ecological and evolutionary determinants of bat diversity across spatial scales,yes,no,yes,no,no,,review,2018,BMC Ecology,NA,NA,10.1186/s12898-018-0174-z,1472-6785,18,1,second_phase
Pest suppression by bats and management strategies to favour it: a global review,yes,no,yes,yes,yes,no,review,2023,Biological Reviews,NA,NA,10.1111/brv.12967,1469-185X,98,5,second_phase
Terrestrial Behavior and Trackway Morphology of Neotropical Bats,yes,no,no,,,,,2018,Acta Chiropterologica,NA,NA,10.3161/15081109ACC2018.20.1.018,"1508-1109, 1733-5329",20,1,second_phase
"Altitudinal migration in bats: evidence, patterns, and drivers",yes,no,yes,yes,no,no,review,2013,Biological Reviews,NA,NA,10.1111/brv.12024,1469-185X,88,4,second_phase
The scientific literature on bats (chiroptera) in Brazil: a scientometric analysis from 1954-2018,yes,no,yes,no,yes,,review,2022,Anais da Academia Brasileira de Ciências,NA,NA,10.1590/0001-3765202220211621,"0001-3765, 1678-2690",94,NA,second_phase
Bat Research Networks and Viral Surveillance: Gaps and Opportunities in Western Asia,yes,no,yes,no,no,,review,2019,Viruses,NA,NA,10.3390/v11030240,1999-4915,11,3,second_phase
Tree roost selection by bats: an empirical synthesis using meta-analysis,yes,no,yes,yes,no,no,review,2005,Wildlife Society Bulletin,NA,NA,10.2193/0091-7648(2005)33[1123:TRSBBA]2.0.CO;2,1938-5463,33,3,second_phase
"BATS, CLOCKS, AND ROCKS: DIVERSIFICATION PATTERNS IN CHIROPTERA",no,no,yes,no,no,,article,2005,Evolution,NA,NA,10.1111/j.0014-3820.2005.tb00932.x,1558-5646,59,10,second_phase
Acoustic identification of Mexican bats based on taxonomic and ecological constraints on call design,yes,no,yes,yes,yes,no,article,2016,Methods in Ecology and Evolution,NA,NA,10.1111/2041-210X.12556,2041-210X,7,9,second_phase
Bat-borne viruses in Africa: a critical review,yes,no,yes,yes,no,no,review,2020,Journal of Zoology,NA,NA,10.1111/jzo.12769,1469-7998,311,2,second_phase
Disease alters macroecological patterns of North American bats,yes,no,yes,no,no,,article,2015,Global Ecology and Biogeography,NA,NA,10.1111/geb.12290,1466-8238,24,7,second_phase
Environmental drivers of body size in North American bats,yes,no,yes,yes,yes,no,article,2023,Functional Ecology,NA,NA,10.1111/1365-2435.14287,1365-2435,37,4,second_phase
An optimum body size for mammals? Comparative evidence from bats,yes,no,yes,yes,no,no,review,1997,Functional Ecology,NA,NA,10.1046/j.1365-2435.1997.00149.x,1365-2435,11,6,second_phase
Social communication in bats,yes,no,yes,no,no,,review,2018,Biological Reviews,NA,NA,10.1111/brv.12427,1469-185X,93,4,second_phase
Reappraising the use of forearm rings for bat species,yes,no,yes,no,no,,review,2023,Biological Conservation,NA,NA,10.1016/j.biocon.2023.110268,0006-3207,286,NA,second_phase
Alopecia in Bats,yes,no,yes,no,no,,review,2022,Acta Chiropterologica,NA,NA,10.3161/15081109ACC2022.24.1.017,"1508-1109, 1733-5329",24,1,second_phase
The Critical Importance of Old World Fruit Bats for Healthy Ecosystems and Economies,yes,no,yes,yes,yes,no,review,2021,Frontiers in Ecology and Evolution,NA,NA,10.3389/fevo.2021.641411,2296-701X,9,NA,second_phase
Review and meta-analysis of correlates of home range size in bats,yes,no,yes,yes,no,no,review,2024,Journal of Mammalogy,NA,NA,10.1093/jmammal/gyae036,0022-2372,105,5,second_phase
"How far are birds, bats, and terrestrial mammals displaced from onshore wind power development?: A systematic review",yes,no,yes,no,yes,,review,2023,Biological Conservation,NA,NA,10.1016/j.biocon.2023.110382,0006-3207,288,NA,second_phase
Disease tolerance as immune defense strategy in bats: One size fits all?,yes,no,no,,,,,2024,PLOS Pathogens,NA,NA,10.1371/journal.ppat.1012471,1553-7374,20,9,second_phase
Bats as instructive animal models for studying longevity and aging,yes,no,yes,no,yes,,review,2024,Annals of the New York Academy of Sciences,NA,NA,10.1111/nyas.15233,1749-6632,NA,NA,second_phase
Physical constraints on thermoregulation and flight drive morphological evolution in bats,yes,no,yes,yes,yes,yes,article,2022,Proceedings of the National Academy of Sciences,NA,NA,10.1073/pnas.2103745119,NA,119,15,second_phase
Trends in Bacterial Pathogens of Bats: Global Distribution and Knowledge Gaps,yes,no,yes,yes,yes,no,review,2023,Transboundary and Emerging Diseases,NA,NA,10.1155/2023/9285855,1865-1682,2023,1,second_phase
Literature review of tri-colored bat natural history with implications to management,yes,no,yes,no,no,,review,2023,Frontiers in Conservation Science,NA,NA,10.3389/fcosc.2023.1204901,2673-611X,4,NA,second_phase
Priorities and gaps in Mediterranean bat research evidence: a systematic review for the early twenty-first century,yes,no,yes,no,no,,review,2022,"Hystrix, the Italian Journal of Mammalogy",NA,NA,10.4404/hystrix-00534-2022,"0394-1914, 1825-5272",33,2,second_phase
Coronavirus sampling and surveillance in bats from 1996-2019: a systematic review and meta-analysis,yes,no,yes,yes,yes,no,review,2023,Nature Microbiology,NA,NA,10.1038/s41564-023-01375-1,2058-5276,8,6,second_phase
The Virome of Bats Inhabiting Brazilian Biomes: Knowledge Gaps and Biases towards Zoonotic Viruses,yes,no,yes,yes,yes,no,review,2023,Microbiology Spectrum,NA,NA,10.1128/spectrum.04077-22,NA,11,1,second_phase
Conservation implications of hibernation in mammals,no,no,yes,no,yes,,review,2024,Mammal Review,NA,NA,10.1111/mam.12346,1365-2907,54,3,second_phase
Higher and bigger: How riparian bats react to climate change,yes,no,no,yes,no,,article,2024,Science of The Total Environment,NA,NA,10.1016/j.scitotenv.2023.169733,0048-9697,913,NA,second_phase
Monitoring the trade in bat taxidermy and specimens on e-commerce platforms,yes,no,yes,yes,yes,no,article,2024,Biological Conservation,NA,NA,10.1016/j.biocon.2024.110827,0006-3207,299,NA,second_phase
Microchiropteran bats : global status survey and conservation action plan,yes,no,yes,no,yes,,report,2001,NA,IUCN,NA,NA,NA,NA,NA,second_phase
Ecomorphological and phylogenetic controls on sympatry across extant bats,yes,no,yes,yes,yes,no,article,2018,Journal of Biogeography,NA,NA,10.1111/jbi.13353,1365-2699,45,7,second_phase
A Palearctic view of a bat fungal disease,yes,no,yes,no,yes,,review,2024,Conservation Biology,NA,NA,10.1111/cobi.14265,1523-1739,n/a,n/a,second_phase
Immunological features of bats: resistance and tolerance to emerging viruses,yes,no,no,,,,,2024,Trends in Immunology,NA,NA,10.1016/j.it.2024.01.008,1471-4906,45,3,second_phase
Presencia del virus de la rabia en murciélagos no hematófagos en México,no,no,yes,yes,yes,no,review,2024,Ecosistemas y Recursos Agropecuarios,NA,NA,10.19136/era.a11n2.3768,2007-901X,11,2,second_phase
The scope and severity of white-nose syndrome on hibernating bats in North America,yes,no,no,,,,,2021,Conservation Biology,NA,NA,10.1111/cobi.13739,1523-1739,35,5,second_phase
Global review and guidelines to avoid opportunistic predation of birds and bats in mist nets,yes,no,yes,no,yes,,review,2023,Ecology and Evolution,NA,NA,10.1002/ece3.10390,2045-7758,13,8,second_phase
Bat Ecology and Microbiome of the Gut: A Narrative Review of Associated Potentials in Emerging and Zoonotic Diseases,yes,no,yes,yes,yes,no,review,2024,Animals,NA,NA,10.3390/ani14203043,2076-2615,14,20,second_phase
How significant are bats as potential carriers of zoonotic <i>Cryptosporidium</i> and <i>Giardia</i>?,yes,no,yes,yes,yes,no,review,2023,Current Research in Parasitology & Vector-Borne Diseases,NA,NA,10.1016/j.crpvbd.2023.100155,2667-114X,4,NA,second_phase
Viral Co-Infection in Bats: A Systematic Review,yes,no,yes,yes,yes,no,review,2023,Viruses,NA,NA,10.3390/v15091860,1999-4915,15,9,second_phase
Phylogeographic Aspects of Bat Lyssaviruses in Europe: A Review,yes,no,yes,yes,yes,no,review,2023,Pathogens,NA,NA,10.3390/pathogens12091089,2076-0817,12,9,second_phase
<i>Leishmania</i> species infection of bats: A systematic review,yes,no,yes,yes,no,no,review,2023,Acta Tropica,NA,NA,10.1016/j.actatropica.2023.107025,0001-706X,248,NA,second_phase
Bane or Blessing? Reviewing Cultural Values of Bats across the Asia-Pacific Region,yes,no,yes,no,no,,review,2021,Journal of Ethnobiology,NA,NA,10.2993/0278-0771-41.1.18,"0278-0771, 2162-4496",41,1,second_phase
"The Bats of Greece: An Updated Review of Their Distribution, Ecology and Conservation",yes,no,yes,yes,yes,no,review,2023,Animals: an open access journal from MDPI,NA,NA,10.3390/ani13152529,2076-2615,13,15,second_phase
