Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"RS Laurindo, J Vizentin-Bugoni, DC Tavares, ...","Drivers of bat roles in Neotropical seed dispersal networks: abundance is more important than functional traits",2020,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-020-04662-4","https://scholar.google.com/scholar?cites=11132334834295721423&as_sdt=2005&sciodt=2007&hl=en",11,"2025-01-07 12:13:53","","10.1007/s00442-020-04662-4","","",,,,,21,4.20,5,4,5,"While functional traits can facilitate or constrain interactions between pair of species in ecological communities, relative abundances regulate the probabilities of encounter among …","https://www.jstor.org/stable/pdf/48696078.pdf","https://scholar.google.com/scholar?q=related:z03n1oz_fZoJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
24,"D Castillo-Figueroa, J Pérez-Torres","On the development of a trait-based approach for studying Neotropical bats",2021,"Papéis Avulsos de Zoologia","SciELO Brasil","https://www.scielo.br/j/paz/a/RGXXLvGmyWchp8VgNjFzW7g/?format=html&lang=en","https://scholar.google.com/scholar?cites=11374161328660835730&as_sdt=2005&sciodt=2007&hl=en",12,"2025-01-07 12:13:53","HTML","","","",,,,,24,6.00,12,2,4,"… However, despite the relevance of bats on ecosystem dynamics, so far, there is no conceptual framework that relies on the measurement of bat traits to address functional studies. Here, …","https://www.scielo.br/j/paz/a/RGXXLvGmyWchp8VgNjFzW7g/?format=html&lang=en","https://scholar.google.com/scholar?q=related:km3QLHcj2Z0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
43,"PE Lentini, TJ Bird, SR Griffiths, ...","A global synthesis of survival estimates for microbats",2015,"Biology …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rsbl.2015.0371","https://scholar.google.com/scholar?cites=16343209042737461069&as_sdt=2005&sciodt=2007&hl=en",13,"2025-01-07 12:13:53","","10.1098/rsbl.2015.0371","","",,,,,43,4.30,11,4,10,"… Ample data are available to investigate the relationship between bat traits and annual survival, as bats have been banded since the 1910s [6]. This body of literature represents a …","https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2015.0371","https://scholar.google.com/scholar?q=related:TXdRygi-zuIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"NM Kinap, FZ Farneda, RM Rabelo, E Bernard, ...","Functional diversity and trait-environment relationships of bat assemblages in an Amazonian forest-savannah mosaic",2024,"Biodiversity and …","Springer","https://link.springer.com/article/10.1007/s10531-024-02880-3","",14,"2025-01-07 12:13:53","","10.1007/s10531-024-02880-3","","",,,,,0,0.00,0,5,1,"Understanding the effects of long-term habitat fragmentation on functional diversity and trait distributions is fundamental for effective conservation plans. In this study, we investigated the …","https://www.researchgate.net/profile/Paulo-Bobrowiec/publication/381186507_Functional_diversity_and_trait-environment_relationships_of_bat_assemblages_in_an_Amazonian_forest-savannah_mosaic/links/6666035985a4ee7261b356e9/Functional-diversity-and-trait-environment-relationships-of-bat-assemblages-in-an-Amazonian-forest-savannah-mosaic.pdf","https://scholar.google.com/scholar?q=related:lClN5GG0Q-4J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
10,"PED Bobrowiec, FZ Farneda, CC Nobre, ...","Taxonomic and functional responses of bats to habitat flooding by an Amazonian mega-dam",2022,"Biodiversity and …","Springer","https://link.springer.com/article/10.1007/s10531-022-02396-8","https://scholar.google.com/scholar?cites=8572296222165066808&as_sdt=2005&sciodt=2007&hl=en",15,"2025-01-07 12:13:53","","10.1007/s10531-022-02396-8","","",,,,,10,3.33,3,4,3,"… Additionally, we investigate how bat functional traits are affected by river damming and how the flooding of lowlands contributes to changes in functional β-diversity. Our hypothesis is …","https://www.researchgate.net/profile/Paulo-Bobrowiec/publication/359434662_Taxonomic_and_functional_responses_of_bats_to_habitat_flooding_by_an_Amazonian_mega-dam/links/623dc5777931cc7ccff640c8/Taxonomic-and-functional-responses-of-bats-to-habitat-flooding-by-an-Amazonian-mega-dam.pdf","https://scholar.google.com/scholar?q=related:OGSS__7p9nYJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
22,"GT Colombo, R Di Ponzio, M Benchimol, ...","Functional diversity and trait filtering of insectivorous bats on forest islands created by an Amazonian mega dam",2023,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.14118","https://scholar.google.com/scholar?cites=7535731886465810671&as_sdt=2005&sciodt=2007&hl=en",16,"2025-01-07 12:13:53","","10.1111/1365-2435.14118","","",,,,,22,11.00,6,4,2,"… See Table 1 for abbreviations of bat functional traits, and Appendix S1 for the abbreviation of names of the call structure (Call). See Table S2 for the full name of the environmental …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.14118","https://scholar.google.com/scholar?q=related:7wBhhzlMlGgJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
29,"RA Saldaña‐Vázquez, JH Castaño, J Baldwin, ...","Does seed ingestion by bats enhance germination? A new meta‐analysis 15 years later",2019,"Mammal …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mam.12153","https://scholar.google.com/scholar?cites=15657220687692654349&as_sdt=2005&sciodt=2007&hl=en",17,"2025-01-07 12:13:53","","10.1111/mam.12153","","",,,,,29,4.83,7,4,6,"… Therefore, the pattern of negative and positive effects of germination probability in bat taxa of different sizes suggests that plant traits may be more important than bat traits in explaining …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mam.12153","https://scholar.google.com/scholar?q=related:DWfRi0KfSdkJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
31,"WD Carvalho, K Mustin, FZ Farneda, IJ de Castro, ...","Taxonomic, functional and phylogenetic bat diversity decrease from more to less complex natural habitats in the Amazon",2021,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-021-05009-3","https://scholar.google.com/scholar?cites=6800095341759771277&as_sdt=2005&sciodt=2007&hl=en",18,"2025-01-07 12:13:53","","10.1007/s00442-021-05009-3","","",,,,,31,7.75,6,5,4,"The high levels of biodiversity in the Amazon are maintained mostly due to its composition as a natural mosaic of different habitats, including both unflooded and flooded forests, …","https://www.jstor.org/stable/pdf/48696616.pdf","https://scholar.google.com/scholar?q=related:jTJhVK_KXl4J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
1,"DC Silva, HFM Oliveira, F Domingos","Cerrado bat community assembly is determined by both present‐day and historical factors",2024,"Journal of Biogeography","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.14798","https://scholar.google.com/scholar?cites=16473962581313654904&as_sdt=2005&sciodt=2007&hl=en",19,"2025-01-07 12:13:53","","10.1111/jbi.14798","","",,,,,1,1.00,0,3,1,"Aim To investigate the influence of ecological factors, geologic and climatic history on current diversity patterns of bat communities. We predicted that (i) our three different biodiversity …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/jbi.14798","https://scholar.google.com/scholar?q=related:eBBHVq9Fn-QJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
36,"A Arrizabalaga‐Escudero, T Merckx, ...","Trait‐based functional dietary analysis provides a better insight into the foraging ecology of bats",2019,"Journal of Animal …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2656.13055","https://scholar.google.com/scholar?cites=10144644715104806444&as_sdt=2005&sciodt=2007&hl=en",20,"2025-01-07 12:13:53","","10.1111/1365-2656.13055","","",,,,,36,6.00,12,3,6,"… Regarding bat traits, we included season and location as environmental traits, and size (measured as forearm length and body mass), sex and age as intraspecific traits of bats. …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2656.13055","https://scholar.google.com/scholar?q=related:LKZdqJ4EyYwJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
2,"DL Biassi, R Baldissera, D Galiano, ...","Effects of pine forest management practices on bat functional traits in a subtropical region",2021,"Acta …","ingentaconnect.com","https://www.ingentaconnect.com/content/miiz/actac/2021/00000023/00000002/art00012","https://scholar.google.com/scholar?cites=2084767716034280407&as_sdt=2005&sciodt=2007&hl=en",21,"2025-01-07 12:13:53","","10.3161/15081109ACC2021.23.2.012","","",,,,,2,0.50,1,4,4,"Changes in landscape environmental characteristics may influence habitat use by bat species as well as species composition and community functional structure. Landscape features …","https://bioone.org/journals/acta-chiropterologica/volume-23/issue-2/15081109ACC2021.23.2.012/Effects-of-Pine-Forest-Management-Practices-on-Bat-Functional-Traits/10.3161/15081109ACC2021.23.2.012.pdf","https://scholar.google.com/scholar?q=related:1_tsMTGV7hwJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
291,"D Jebb, Z Huang, M Pippel, GM Hughes, ...","Six reference-quality genomes reveal evolution of bat adaptations",2020,"Nature","nature.com","https://www.nature.com/articles/s41586-020-2486-3","https://scholar.google.com/scholar?cites=11680245589341333951&as_sdt=2005&sciodt=2007&hl=en",22,"2025-01-07 12:13:53","HTML","","","",,,,,291,58.20,58,5,5,"… To increase the sensitivity in detecting positive selection in genes relevant for prominent bat traits, we also performed a screen considering 2,453 candidate genes associated with …","https://www.nature.com/articles/s41586-020-2486-3","https://scholar.google.com/scholar?q=related:v2kDmnqRGKIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
41,"E Browning, KE Barlow, F Burns, C Hawkins, ...","Drivers of European bat population change: a review reveals evidence gaps",2021,"Mammal …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mam.12239","https://scholar.google.com/scholar?cites=12717600888480234632&as_sdt=2005&sciodt=2007&hl=en",23,"2025-01-07 12:13:53","","10.1111/mam.12239","","",,,,,41,10.25,8,5,4,"Bat populations are thought to have suffered significant declines in the past century throughout Europe. Fortunately, there are some signs of recovery; for instance, of the 11 species …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mam.12239","https://scholar.google.com/scholar?q=related:iHwOmaD-fbAJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"LI Dambly","Improving our understanding and use of citizen science data to model spatio-temporal trends of British bats",2023,"","discovery.ucl.ac.uk","https://discovery.ucl.ac.uk/id/eprint/10165710/","",24,"2025-01-07 12:13:53","","","","",,,,,0,0.00,0,1,2,"Successful biodiversity conservation relies on large quantities of data, which can be used to evaluate and track the extent of biodiversity change. In the United Kingdom (UK), bats are …","https://discovery.ucl.ac.uk/id/eprint/10165710/2/THESIS_digital_corrections.pdf","https://scholar.google.com/scholar?q=related:JpjALlFS5isJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
9,"Y Werber, H Sextin, Y Yovel, ...","BATScan: A radar classification tool reveals large‐scale bat migration patterns",2023,"Methods in Ecology and …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.14125","https://scholar.google.com/scholar?cites=13303006242589770917&as_sdt=2005&sciodt=2007&hl=en",25,"2025-01-07 12:13:53","","10.1111/2041-210X.14125","","",,,,,9,4.50,2,4,2,"… To assess the robustness of our approach against avian contamination of the bat dataset, we … conclude with high certainty that the risk of bird contamination of our bat dataset is very low. …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.14125","https://scholar.google.com/scholar?q=related:pQRe_rHFnbgJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
11,"J Gibbins, M Lucquiaud","BAT Review for New-Build and Retrofit Post-Combustion Carbon Dioxide Capture Using Amine-Based Technologies for Power and CHP Plants Fuelled …",2021,"ukccsrc. ac. uk: UKCCSRC","","","https://scholar.google.com/scholar?cites=8088617737589980140&as_sdt=2005&sciodt=2007&hl=en",26,"2025-01-07 12:13:53","CITATION","","","",,,,,11,2.75,6,2,4,"","","https://scholar.google.com/scholar?q=related:7Hv5HPqKQHAJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
204,"FZ Farneda, R Rocha, A López‐Baucells, ...","Trait‐related responses to habitat fragmentation in Amazonian bats",2015,"Journal of Applied …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2664.12490","https://scholar.google.com/scholar?cites=7544196713892859152&as_sdt=2005&sciodt=2007&hl=en",27,"2025-01-07 12:13:53","","10.1111/1365-2664.12490","","",,,,,204,20.40,51,4,10,"… vulnerable to fragmentation and that continuous forest characteristics, such as large, high-stature trees, and forest cover will be key factors for the maintenance of bat functional traits. …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.12490","https://scholar.google.com/scholar?q=related:EM1Av_BesmgJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
2,"JG Lucquiaud, J Gibbins","BAT Review for New-Build and Retrofit Post-Combustion Carbon Dioxide Capture Using Amine-Based Technologies for Power and CHP Plants Fuelled …",2021,"Hämtat från https://ukccsrc. ac. uk/wp-content/uploads …","","","https://scholar.google.com/scholar?cites=4635583106903146842&as_sdt=2005&sciodt=2007&hl=en",28,"2025-01-07 12:13:53","CITATION","","","",,,,,2,0.50,1,2,4,"","","https://scholar.google.com/scholar?q=related:WoHDfUbmVEAJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
5,"AS Winter, JJM Hathaway, JC Kimble, DC Buecher, ...","Skin and fur bacterial diversity and community structure on American southwestern bats: effects of habitat, geography and bat traits. PeerJ 5: e3944",2017,"","","","https://scholar.google.com/scholar?cites=6752824877259372800&as_sdt=2005&sciodt=2007&hl=en",29,"2025-01-07 12:13:53","CITATION","","","",,,,,5,0.63,1,5,8,"","","https://scholar.google.com/scholar?q=related:ADl3p3Latl0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
12,"M Moir, LR Richards, RV Rambau, ...","Functional diversity and trait filtering of insectivorous bats relate to forest biogeography and fragmentation in South Africa",2021,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.14069","https://scholar.google.com/scholar?cites=7883198847433621579&as_sdt=2005&sciodt=2007&hl=en",30,"2025-01-07 12:13:53","","10.1111/jbi.14069","","",,,,,12,3.00,3,4,4,"… Fourth-corner analysis coefficients of interactions of insectivorous bat functional traits with forest type and fragmentation variables for forests in southern KwaZulu-Natal and Eastern …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/jbi.14069","https://scholar.google.com/scholar?q=related:S8AMs5W_Zm0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
2,"J Gibbins, M Lucquiaud","BAT Review for PCC, V2. 0 (including EfW) BAT Review for New-Build and Retrofit Post-Combustion Carbon Dioxide Capture Using Amine-Based …",,"","","","https://scholar.google.com/scholar?cites=10529787613931940179&as_sdt=2005&sciodt=2007&hl=en",31,"2025-01-07 12:13:53","CITATION","","","",,,,,2,0.00,1,2,,"","","https://scholar.google.com/scholar?q=related:U6m4sAtSIZIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
