trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
Length of the pollex with claw,,,,numeric,mm,.na,,,"Measurement from the beginning of the phalanx of the thumb to the tip of 
the claw","FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the foot without claw,,,,numeric,mm,.na,,,Measurement from the joint with the tibia to the beginning of the claws,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
length of the foot with claw,,,,numeric,mm,.na,,,Measurement from the tibia joint to the tip of the claw,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the tibia,,,,numeric,mm,.na,,,Measurement from the joint with the femur to the joint with the foot,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of calcaneus,,,,numeric,mm,.na,,,Measure from the base of the calcaneus to the tip of it,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of the ear,,,,numeric,mm,.na,,,Measure from the base of the ear to its most apical region,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of tragus,,,,numeric,mm,.na,,,Measure from the base to the tip of the structure,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Length of nose leaf,,,,numeric,mm,.na,,,Measurement from the base of the nasal horseshoe to the tip of the lancet,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Inner nostril width ratio,,,,numeric,.na,.na,,,Ratio of the cranial width to the inner nostril width,"FM, BC",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Tail length,,,,numeric,Value of the trait in millimeters (mm),.na,,,Measurement from the insertion of the tail in the body to its distal end,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Uropatagium area,,,,numeric,Value of the trait in area (m2),.na,,,Measurement of the surface area of the intrafemoral membrane,FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Litters per year,,,,numeric,Mean number of litters during a year,.na,,,Number of litters produced per year,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Litter size,,,,numeric,Mean number of pups per litter,.na,,,Number of pups produced per litter,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Gestation duration,,,,numeric,Mean days in pregnancy,.na,,,Length of the pregnancy expressed in days,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Lactation duration,,,,numeric,Mean days in lactation,.na,,,Length of the lactation expressed in days,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Reproductive status,,,,categorical,.na,"For females the frequencies or population averages of each stage: 
Proestrus. Estrus. Metestrus. Anestrus. For males the frequencies or 
population averages of: Scrotted males Non-scrotted males",.na,.na,"Reproductive stage that involves hormonal concentration (progesterone and 
estradiol peaks) and physiological changes in females (corpus luteum and 
ovarian follicle). Vaginal smears can reveal superficial nucleated cells 
(proestrus), superficial non-nucleated cells parabasal (estrus), 
intermediate cells (metestrus) and parabasal cells (anestrus) in bat 
females. Females can be considered reproductive when they presented a 
dominance in proestrus, estrus, and metestrus. By contrast, 
non-reproductive females are when the dominant stage is anestrus. This can 
be measured individually and can also be expressed in frequencies or 
population averages of each stage. For males, reproductive status can be 
determined by examining testes (scrotted or not), thus obtaining 
frequencies or population averages of each condition.",FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Sexual maturity age,,,,numeric,Mean number of years,.na,,,Age at first reproductive event (adult),"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Mating systems,,,,categorical,.na,Monogamic; Polygyny; Polyandry; Promiscuty,.na,.na,"All the potential combinations between bats to find mate and copulate 
during reproductive season","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Digestive capactiy,,,,numeric,Food intake response,.na,,,"Bat capacity to obtain nutrients when consumption item differ in nutrient 
quality. Food intake response is defined as the relationship (following 
power function) between volumetric food intake and nutrient concentration",LE,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Gut size,,,,numeric,cm2,.na,,,Gut area of the total gut. Mean surface area.,BC,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Gut retention time of seeds,,,,numeric,minutes,.na,,,"Time that the seeds are retained inside the gut of the bat until is 
expelled by feces. Mean number of time.",LE,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Type of lingual papillae,,,,character,.na,"Gustative, including vallate and fungiform, or mechanical comprising basal, 
postero-median, scalelike, filiform, foliate, conical, and horny",.na,.na,Shape of the papillae in tongue,BC,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Metabolic rate,,,,numeric,kcal/day,.na,,,"Energy unit per time required by an individual to maintain its basal 
physiological functions. Mean energetic expenditure","FM, LE",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Body temperature,,,,numeric,ºC,.na,,,"Individual capacity to survive at a specific temperature, either hot or 
cold temperatures","FM, LE",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Migration,,,,categorical,.na,Resident; Migratory,.na,.na,Species movement according its life history,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Sociality,,,,categorical,.na,Solitary; Society; Group; Colony; Aggregation,.na,.na,Clustering of individuals,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Foraging strategy,,,,categorical,.na,Gleaning foragers; Aerial foragers; Trawling foragers,.na,.na,Behavioral strategy that is used to obtain food,SI,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Activity pattern,,,,numerical,Number of recording events per time hour,.na,,,"Activity period of bat species within nocturnal time. Commonly spanned from 
18:00h to 6:00h. Number of recording events per time hour",FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Feeding guild,,,,categorical,.na,"Necterivore; Frugivore; Carnívore; Omnívore; Sanguinivore; Insectívore; 
Piscívore",.na,.na,Based on the food item that is consumed mainly for a large part of bat life,SI,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Diet specialization,,,,numeric,.na,.na,,,"Based on the percentage of the contribution of each food item to the total 
diet the species. Levin index as well as Morisita index can estimate 
dietary specialization","FM, Value of the niche breadth index selected (*e.g.,* Levin, Morisita, etc.) 
ranging from low values (specialist) to high values (generalist)",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Bite force,,,,numeric,Newtons,.na,,,"Is the result of the interplay between the teeth, the masticatory muscles, 
the mandible, the maxillae, and temporomandibular joints. Bite force can be 
measured *in vivo* with an isometric Kistler force transducer or can be 
estimated with assessments of muscular and bony morphology from skulls 
using algorithms","FM, BC, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Foraging hábitat,,,,categorical,.na,Background space; Uncluttered space; Highly cluttered space,.na,.na,"It is the space where the bat is found most of the time, especially when 
searching for food. Resource availability and conditions limit foraging 
habitat",SI,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Vertical stratification,,,,numeric,"individuals per mist-net hour
Canopy",.na,,,"Based on the proportion of bat capture rate in ground (shrubs) and canopy 
nets (treetops). Bats can also use both strata (no preference)","FM, Capture rate (individuals per mist-net hour) in each strata: Understory; 
Canopy",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Home range,,,,numeric,km2,.na,,,"Area of available habitat over which an individual does its daily 
activities. There are several ways to estimate home range such as minimum 
convex polygon, minimum area probabilities, areas of kernel, etc.","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Type of roost,,,,character,.na,"Animal burrow or hole; Termite ant/nest; Cavity in fallen tree; Cavity in 
standing tree; Exposed on standing tree; Foliage, leaf tent; Foliage, 
unmodified foliage; Rocks, crevices, or caves; Under fallen tree; Undercut 
earth bank",.na,.na,Diurnal roosts used by bats,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Duration,,,,numeric,ms,.na,,,Time span of the call emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Interval,,,,numeric,ms,.na,,,Time between one call to another emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Frequency,,,,numeric,Khz,.na,,,"Number of pressure waves of the call emitted by the bat that pass by a 
reference point per unit time. This can include the start of the call 
(initial frequency), the end of the call (final frequency) and the maximum 
amplitude of the call (maximum frequency)","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Intensity,,,,numeric,db,.na,,,Height of the sound pressure wave emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Harmonics,,,,numeric,.na,.na,,,Wave that is a multiple of the fundamental frequency emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
adult_mass_g,,,,numeric,g,.na,,,Body mass of an adult individual in grams,,https://doi.org/10.1002/ecy.3344,Soria_2021
brain_mass_g,,,,numeric,g,.na,,,Weight of the brain of an adult individual in grams,,https://doi.org/10.1002/ecy.3344,Soria_2021
adult_body_length_mm,,,,numeric,mm,.na,,,Total length from tip of the nose to anus or base of the tail of an adult individual in millimeters,,https://doi.org/10.1002/ecy.3344,Soria_2021
adult_forearm_length_mm,,,,numeric,mm,.na,,,"Total length from elbow to wrist of an adult individual in millimeters, specific to order Chiroptera",,https://doi.org/10.1002/ecy.3344,Soria_2021
max_longevity_d,,,,numeric,days,.na,,,Maximum reported age at death for the species in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
maturity_d,,,,numeric,days,.na,,,The amount of time needed to reach sexual maturity in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
female_maturity_d,,,,numeric,days,.na,,,The amount of time needed for a female to reach sexual maturity in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
male_maturity_d,,,,numeric,days,.na,,,The amount of time needed for a male to reach sexual maturity in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
age_first_reproduction_d,,,,numeric,days,.na,,,Age at which females give birth to their first litter or their young attach to teats in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
gestation_length_d,,,,numeric,days,.na,,,Length of time of fetal growth in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
teat_number_n,,,,numeric,.na,.na,,,Total number of teats present in an individual of the species,,https://doi.org/10.1002/ecy.3344,Soria_2021
litter_size_n,,,,numeric,.na,.na,,,Number of offspring born per litter per female,,https://doi.org/10.1002/ecy.3344,Soria_2021
litters_per_year_n,,,,numeric,litters/year,.na,,,Number of litters per female per year,,https://doi.org/10.1002/ecy.3344,Soria_2021
interbirth_interval_d,,,,numeric,days,.na,,,Time between reproduction events in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
neonate_mass_g,,,,numeric,g,.na,,,Weight of an individual at birth in grams,,https://doi.org/10.1002/ecy.3344,Soria_2021
weaning_age_d,,,,numeric,days,.na,,,Age at which primary nutritional dependency on the mother ends and independent foraging begins in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
weaning_mass_g,,,,numeric,g,.na,,,Weight at weaning in grams,,https://doi.org/10.1002/ecy.3344,Soria_2021
generation_length_d,,,,numeric,days,.na,,,Average age of parents of the current cohort in days,,https://doi.org/10.1002/ecy.3344,Soria_2021
dispersal_km,,,,numeric,km,.na,,,The distance an animal travels between its place of birth to the place where it reproduces in kilometers,,https://doi.org/10.1002/ecy.3344,Soria_2021
density_n_km2,,,,numeric,individuals/km2,.na,,,Number of individuals of the species per squared kilometer,,https://doi.org/10.1002/ecy.3344,Soria_2021
hibernation_torpor,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,Individuals of the species go through hibernation or torpor,,https://doi.org/10.1002/ecy.3344,Soria_2021
fossoriality,,,,categorical,.na,"1: fossorial and/or ground dwelling, 2: above ground dwelling ",.na,.na,The species is above ground dwelling or ground/fossorial dwelling,,https://doi.org/10.1002/ecy.3344,Soria_2021
home_range_km2,,,,numeric,km2,.na,,,Size of the area within which everyday activities of individuals or groups of individuals are typically restricted in km2,,https://doi.org/10.1002/ecy.3344,Soria_2021
social_group_size_n,,,,numeric,individuals,.na,,,Number of individuals in a group that spends most of their daily time together,,https://doi.org/10.1002/ecy.3344,Soria_2021
dphy_invertebrate,,,,numeric,%,.na,,,Percentage of the diet composed of invertebrates ,,https://doi.org/10.1002/ecy.3344,Soria_2021
dphy_vertebrate,,,,numeric,%,.na,,,Percentage of the diet composed of vertebrates,,https://doi.org/10.1002/ecy.3344,Soria_2021
dphy_plant,,,,numeric,%,.na,,,Percentage of the diet composed of plants and/or fungi,,https://doi.org/10.1002/ecy.3344,Soria_2021
det_inv,,,,numeric,%,.na,,,Percentage of the diet composed of invertebrates,,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vend,,,,numeric,%,.na,,,"Percentage of the diet composed of mammals, birds",,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vect,,,,numeric,%,.na,,,"Percentage of the diet composed of reptiles, snakes, amphibians, salamanders",,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vfish,,,,numeric,%,.na,,,Percentage of the diet composed of fish,,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vunk,,,,numeric,%,.na,,,Percentage of the diet composed of vertebrates – general or unknown,,https://doi.org/10.1002/ecy.3344,Soria_2021
det_scav,,,,numeric,%,.na,,,"Percentage of the diet composed of scavenge, garbage, offal, carcasses, trawlers, carrion",,https://doi.org/10.1002/ecy.3344,Soria_2021
det_fruit,,,,numeric,%,.na,,,"Percentage of the diet composed of fruit, drupes",,https://doi.org/10.1002/ecy.3344,Soria_2021
det_nect,,,,numeric,%,.na,,,"Percentage of the diet composed of nectar, pollen, plant exudates, gums",,https://doi.org/10.1002/ecy.3344,Soria_2021
det_seed,,,,numeric,%,.na,,,"Percentage of the diet composed of seed, maize, nuts, spores, wheat, grains",,https://doi.org/10.1002/ecy.3344,Soria_2021
det_plantother,,,,numeric,%,.na,,,Percentage of the diet composed of other plant elements,,https://doi.org/10.1002/ecy.3344,Soria_2021
det_diet_breadth_n,,,,categorical,.na,Values range from 1 dietary category to 5 dietary categories,.na,.na,Number of prevalent (≥ 20%) EltonTraits dietary categories consumed,,https://doi.org/10.1002/ecy.3344,Soria_2021
trophic_level,,,,categorical,.na,1: herbivore 2: omnivore 3: carnivore,.na,.na,Trophic level of the species,,https://doi.org/10.1002/ecy.3344,Soria_2021
foraging_stratum,,,,categorical,.na,"M: marine, G: ground level, including aquatic foraging, S: scansorial, Ar: arboreal, A: aerial",.na,.na,Assignment to one of five foraging stratum categories,,https://doi.org/10.1002/ecy.3344,Soria_2021
activity_cycle,,,,categorical,.na,"1: nocturnal only, 2: nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular, 3: diurnal only",.na,.na,Activity cycle of each species,,https://doi.org/10.1002/ecy.3344,Soria_2021
freshwater,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species spends a significant amount of time in freshwater bodies,,https://doi.org/10.1002/ecy.3344,Soria_2021
marine,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species spends a significant amount of time in oceans and/or seas,,https://doi.org/10.1002/ecy.3344,Soria_2021
terrestrial_non-volant,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species spends a significant amount of time on land,,https://doi.org/10.1002/ecy.3344,Soria_2021
terrestrial_volant,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species is capable of powered flight and spends a significant amount of time flying in the air,,https://doi.org/10.1002/ecy.3344,Soria_2021
upper_elevation_m,,,,numeric,m,.na,,,Upper elevation limit at which the species can be found in meters,,https://doi.org/10.1002/ecy.3344,Soria_2021
lower_elevation_m,,,,numeric,m,.na,,,Lower elevation limit at which the species can be found in meters,,https://doi.org/10.1002/ecy.3344,Soria_2021
altitude_breadth_m,,,,numeric,m,.na,,,Difference between the upper and lower elevation limits of a species in meters,,https://doi.org/10.1002/ecy.3344,Soria_2021
island_dwelling,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,20% or more of the breeding range occurs on an island,,https://doi.org/10.1002/ecy.3344,Soria_2021
island_endemicity,,,,categorical,.na,"Exclusively marine, Occurs on mainland, Occurs on large land bridge islands: the species occurs on islands greater than 1,000 km2 that are separated from the mainland by water no more than 110 m deep. The islands would have been part of the mainland during the last glacial maximum., Occurs on small land bridge islands: the species occurs on islands smaller than 1,000 km2 that are separated from the mainland by water no more than 110 m deep. The islands would have been part of the mainland during the last glacial maximum., Occurs only on isolated islands: the species occurs on islands separated from the mainland by water deeper than 110 m.",.na,.na,Score of island endemicity obtained from species’ ranges and historical and fossil occurrence records,,https://doi.org/10.1002/ecy.3344,Soria_2021
dissected_by_mountains,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,Range dissected by mountains (based on elevation gradients with slopes equal or higher than 5 degrees),,https://doi.org/10.1002/ecy.3344,Soria_2021
glaciation,,,,categorical,.na,"0 (no), 1 (yes)",.na,.na,"Historical exposure to glaciation, considered as more than 20% range overlap with areas glaciated in the last 21000 years Binary",,https://doi.org/10.1002/ecy.3344,Soria_2021
biogeographical_realm,,,,categorical,.na,"Afrotropical, Antarctic, Australasian, Indomalayan, Nearctic, Neotropical, Oceanian, Palearctic",.na,.na,Biogeographical realms in which the species can be encountered,,https://doi.org/10.1002/ecy.3344,Soria_2021
habitat_breadth_n,,,,numeric,.na,.na,1,9,Number of distinct suitable level 1 IUCN habitats,,https://doi.org/10.1002/ecy.3344,Soria_2021
Sexual dimorphism in size,,,,categorical,.na,"1= yes, 2=no",.na,.na,Presence of sexual dimorphism in size,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Head body length (F/M/U),,,,numeric,mm,.na,,,The length from tip of nose to anus,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Tail length (F/M/U),,,,numeric,mm,.na,,,Length of the tail,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Forearm length (F/M/U),,,,numeric,mm,.na,,,Length of the forearm,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hind foot length (F/M/U),,,,numeric,mm,.na,,,Length of the hindfoot,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Total length (F/M/U),,,,numeric,mm,.na,,,Total length of the body,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing length (F/M/U),,,,numeric,mm,.na,,,Length of the wing,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing area (F/M/U),,,,numeric,cm²,.na,,,Area of the two wings,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wingspan (F/M/U),,,,numeric,mm,.na,,,Distance between the wingtips when wings are extended,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing aspect ratio (F/M/U),,,,numeric,.na,.na,,,The square of the wingspan divided by the wing area,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing loading (F/M/U),,,,numeric,N/m²,.na,,,The weight divided by the wing area,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Dental formula,,,,character,.na,In-nCn-nPn-nMn-n,.na,.na,Dental formula of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Number of teeth,,,,numeric,.na,.na,,,Number of teeth of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Body mass (F/M/U),,,,numeric,g,.na,,,The weight of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Neonatal body mass,,,,numeric,g,.na,,,The body mass of infants,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Neonate head-body length,,,,numeric,mm,.na,,,The head-body length of infants,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Weaning body mass,,,,numeric,g,.na,,,The weight of weanlings,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Weaning head-body length,,,,numeric,mm,.na,,,The head-body length of weanlings,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Polygamy,,,,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Polyandry,,,,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Polygyny,,,,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Monogamy,,,,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Sexual maturity age (F/M/U),,,,numeric,days,.na,,,The age of sexual maturity,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Age of first birth,,,,numeric,days,.na,,,Age of first litter of females,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Sperm retention,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of sperm retention,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Delayed implantation,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of any lag in the implantation,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Delayed embryonic development,,,,categorical,.na,"1= yes, 2=no",.na,.na,Presence of any lag in the embryonic period,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Active gestation length,,,,numeric,days ,.na,,,The length of active gestation,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Total gestation length,,,,numeric,days,.na,,,Total duration of pregnancy ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Lactation length,,,,numeric,days,.na,,,The length of the lactation period,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Weaning length,,,,numeric,days,.na,,,The length of the weaning period,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Litter size,,,,numeric,.na,.na,,,Number of live offspring produced in one litter,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Number of litters per year,,,,numeric,.na,.na,,,Number of litters per female per year,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Interval between births,,,,numeric,days,.na,,,The interval between two consecutive pregnancy,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Parental cares,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of parental cares,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nursery roost ,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of nursery roost,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nursery roost size,,,,numeric,number of individuals,.na,,,Number of individuals in a nursery roost,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Life-span in the wild,,,,numeric,years,.na,,,The length of life in the wild,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Life-span in captivity,,,,numeric,years,.na,,,The length of life in captivity,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Home range (F/M/U),,,,numeric,Km²,.na,,,Size of the home range area,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Dispersal distance (F/M/U),,,,numeric,Km,.na,,,Dispersal distance,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Territoriality (F/M/U),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Territoriality of the species individuals,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Migratory,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of migratory behavior,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Colony size number ,,,,numeric,number of individuals,.na,,,Number of individuals in a colony,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Colony size ,,,,categorical ,.na,"1 = small, 2= medium, 3 = large",.na,.na,Size of the colony,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Mixed colony,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of different species in the same colony,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hibernation,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of hibernation period.,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hibernation length,,,,numeric,days,.na,,,Length of the hibernation period,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Echolocation,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of echolocation,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
