trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
Reproductive status,NA,NA,NA,categorical,.na,"For females the frequencies or population averages of each stage: 
Proestrus. Estrus. Metestrus. Anestrus. For males the frequencies or 
population averages of: Scrotted males Non-scrotted males",.na,.na,"Reproductive stage that involves hormonal concentration (progesterone and 
estradiol peaks) and physiological changes in females (corpus luteum and 
ovarian follicle). Vaginal smears can reveal superficial nucleated cells 
(proestrus), superficial non-nucleated cells parabasal (estrus), 
intermediate cells (metestrus) and parabasal cells (anestrus) in bat 
females. Females can be considered reproductive when they presented a 
dominance in proestrus, estrus, and metestrus. By contrast, 
non-reproductive females are when the dominant stage is anestrus. This can 
be measured individually and can also be expressed in frequencies or 
population averages of each stage. For males, reproductive status can be 
determined by examining testes (scrotted or not), thus obtaining 
frequencies or population averages of each condition.",FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Sexual maturity age,NA,NA,NA,numeric,Mean number of years,.na,NA,NA,Age at first reproductive event (adult),"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Mating systems,NA,NA,NA,categorical,.na,Monogamic; Polygyny; Polyandry; Promiscuty,.na,.na,"All the potential combinations between bats to find mate and copulate 
during reproductive season","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Digestive capactiy,NA,NA,NA,numeric,Food intake response,.na,NA,NA,"Bat capacity to obtain nutrients when consumption item differ in nutrient 
quality. Food intake response is defined as the relationship (following 
power function) between volumetric food intake and nutrient concentration",LE,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Gut size,NA,NA,NA,numeric,cm2,.na,NA,NA,Gut area of the total gut. Mean surface area.,BC,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Gut retention time of seeds,NA,NA,NA,numeric,minutes,.na,NA,NA,"Time that the seeds are retained inside the gut of the bat until is 
expelled by feces. Mean number of time.",LE,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Type of lingual papillae,NA,NA,NA,character,.na,"Gustative, including vallate and fungiform, or mechanical comprising basal, 
postero-median, scalelike, filiform, foliate, conical, and horny",.na,.na,Shape of the papillae in tongue,BC,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Metabolic rate,NA,NA,NA,numeric,kcal/day,.na,NA,NA,"Energy unit per time required by an individual to maintain its basal 
physiological functions. Mean energetic expenditure","FM, LE",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Body temperature,NA,NA,NA,numeric,ºC,.na,NA,NA,"Individual capacity to survive at a specific temperature, either hot or 
cold temperatures","FM, LE",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Migration,NA,NA,NA,categorical,.na,Resident; Migratory,.na,.na,Species movement according its life history,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Sociality,NA,NA,NA,categorical,.na,Solitary; Society; Group; Colony; Aggregation,.na,.na,Clustering of individuals,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Foraging strategy,NA,NA,NA,categorical,.na,Gleaning foragers; Aerial foragers; Trawling foragers,.na,.na,Behavioral strategy that is used to obtain food,SI,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Activity pattern,NA,NA,NA,numerical,Number of recording events per time hour,.na,NA,NA,"Activity period of bat species within nocturnal time. Commonly spanned from 
18:00h to 6:00h. Number of recording events per time hour",FM,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Feeding guild,NA,NA,NA,categorical,.na,"Necterivore; Frugivore; Carnívore; Omnívore; Sanguinivore; Insectívore; 
Piscívore",.na,.na,Based on the food item that is consumed mainly for a large part of bat life,SI,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Diet specialization,NA,NA,NA,numeric,.na,.na,NA,NA,"Based on the percentage of the contribution of each food item to the total 
diet the species. Levin index as well as Morisita index can estimate 
dietary specialization","FM, Value of the niche breadth index selected (*e.g.,* Levin, Morisita, etc.) 
ranging from low values (specialist) to high values (generalist)",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Bite force,NA,NA,NA,numeric,Newtons,.na,NA,NA,"Is the result of the interplay between the teeth, the masticatory muscles, 
the mandible, the maxillae, and temporomandibular joints. Bite force can be 
measured *in vivo* with an isometric Kistler force transducer or can be 
estimated with assessments of muscular and bony morphology from skulls 
using algorithms","FM, BC, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Foraging hábitat,NA,NA,NA,categorical,.na,Background space; Uncluttered space; Highly cluttered space,.na,.na,"It is the space where the bat is found most of the time, especially when 
searching for food. Resource availability and conditions limit foraging 
habitat",SI,https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Vertical stratification,NA,NA,NA,numeric,"individuals per mist-net hour
Canopy",.na,NA,NA,"Based on the proportion of bat capture rate in ground (shrubs) and canopy 
nets (treetops). Bats can also use both strata (no preference)","FM, Capture rate (individuals per mist-net hour) in each strata: Understory; 
Canopy",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Home range,NA,NA,NA,numeric,km2,.na,NA,NA,"Area of available habitat over which an individual does its daily 
activities. There are several ways to estimate home range such as minimum 
convex polygon, minimum area probabilities, areas of kernel, etc.","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Type of roost,NA,NA,NA,character,.na,"Animal burrow or hole; Termite ant/nest; Cavity in fallen tree; Cavity in 
standing tree; Exposed on standing tree; Foliage, leaf tent; Foliage, 
unmodified foliage; Rocks, crevices, or caves; Under fallen tree; Undercut 
earth bank",.na,.na,Diurnal roosts used by bats,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Duration,NA,NA,NA,numeric,ms,.na,NA,NA,Time span of the call emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Interval,NA,NA,NA,numeric,ms,.na,NA,NA,Time between one call to another emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Frequency,NA,NA,NA,numeric,Khz,.na,NA,NA,"Number of pressure waves of the call emitted by the bat that pass by a 
reference point per unit time. This can include the start of the call 
(initial frequency), the end of the call (final frequency) and the maximum 
amplitude of the call (maximum frequency)","FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Intensity,NA,NA,NA,numeric,db,.na,NA,NA,Height of the sound pressure wave emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
Harmonics,NA,NA,NA,numeric,.na,.na,NA,NA,Wave that is a multiple of the fundamental frequency emitted by the bat,"FM, SI",https://doi.org/10.11606/1807-0205/2021.61.24,Castillo-Figueroa_2021
adult_mass_g,NA,NA,NA,numeric,g,.na,NA,NA,Body mass of an adult individual in grams,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
brain_mass_g,NA,NA,NA,numeric,g,.na,NA,NA,Weight of the brain of an adult individual in grams,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
adult_body_length_mm,NA,NA,NA,numeric,mm,.na,NA,NA,Total length from tip of the nose to anus or base of the tail of an adult individual in millimeters,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
adult_forearm_length_mm,NA,NA,NA,numeric,mm,.na,NA,NA,"Total length from elbow to wrist of an adult individual in millimeters, specific to order Chiroptera",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
max_longevity_d,NA,NA,NA,numeric,days,.na,NA,NA,Maximum reported age at death for the species in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
maturity_d,NA,NA,NA,numeric,days,.na,NA,NA,The amount of time needed to reach sexual maturity in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
female_maturity_d,NA,NA,NA,numeric,days,.na,NA,NA,The amount of time needed for a female to reach sexual maturity in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
male_maturity_d,NA,NA,NA,numeric,days,.na,NA,NA,The amount of time needed for a male to reach sexual maturity in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
age_first_reproduction_d,NA,NA,NA,numeric,days,.na,NA,NA,Age at which females give birth to their first litter or their young attach to teats in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
gestation_length_d,NA,NA,NA,numeric,days,.na,NA,NA,Length of time of fetal growth in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
teat_number_n,NA,NA,NA,numeric,.na,.na,NA,NA,Total number of teats present in an individual of the species,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
litter_size_n,NA,NA,NA,numeric,.na,.na,NA,NA,Number of offspring born per litter per female,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
litters_per_year_n,NA,NA,NA,numeric,litters/year,.na,NA,NA,Number of litters per female per year,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
interbirth_interval_d,NA,NA,NA,numeric,days,.na,NA,NA,Time between reproduction events in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
neonate_mass_g,NA,NA,NA,numeric,g,.na,NA,NA,Weight of an individual at birth in grams,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
weaning_age_d,NA,NA,NA,numeric,days,.na,NA,NA,Age at which primary nutritional dependency on the mother ends and independent foraging begins in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
weaning_mass_g,NA,NA,NA,numeric,g,.na,NA,NA,Weight at weaning in grams,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
generation_length_d,NA,NA,NA,numeric,days,.na,NA,NA,Average age of parents of the current cohort in days,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
dispersal_km,NA,NA,NA,numeric,km,.na,NA,NA,The distance an animal travels between its place of birth to the place where it reproduces in kilometers,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
density_n_km2,NA,NA,NA,numeric,individuals/km2,.na,NA,NA,Number of individuals of the species per squared kilometer,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
hibernation_torpor,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,Individuals of the species go through hibernation or torpor,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
fossoriality,NA,NA,NA,categorical,.na,"1: fossorial and/or ground dwelling, 2: above ground dwelling",.na,.na,The species is above ground dwelling or ground/fossorial dwelling,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
home_range_km2,NA,NA,NA,numeric,km2,.na,NA,NA,Size of the area within which everyday activities of individuals or groups of individuals are typically restricted in km2,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
social_group_size_n,NA,NA,NA,numeric,individuals,.na,NA,NA,Number of individuals in a group that spends most of their daily time together,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
dphy_invertebrate,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of invertebrates,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
dphy_vertebrate,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of vertebrates,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
dphy_plant,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of plants and/or fungi,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_inv,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of invertebrates,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vend,NA,NA,NA,numeric,%,.na,NA,NA,"Percentage of the diet composed of mammals, birds",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vect,NA,NA,NA,numeric,%,.na,NA,NA,"Percentage of the diet composed of reptiles, snakes, amphibians, salamanders",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vfish,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of fish,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_vunk,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of vertebrates – general or unknown,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_scav,NA,NA,NA,numeric,%,.na,NA,NA,"Percentage of the diet composed of scavenge, garbage, offal, carcasses, trawlers, carrion",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_fruit,NA,NA,NA,numeric,%,.na,NA,NA,"Percentage of the diet composed of fruit, drupes",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_nect,NA,NA,NA,numeric,%,.na,NA,NA,"Percentage of the diet composed of nectar, pollen, plant exudates, gums",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_seed,NA,NA,NA,numeric,%,.na,NA,NA,"Percentage of the diet composed of seed, maize, nuts, spores, wheat, grains",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_plantother,NA,NA,NA,numeric,%,.na,NA,NA,Percentage of the diet composed of other plant elements,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
det_diet_breadth_n,NA,NA,NA,categorical,.na,Values range from 1 dietary category to 5 dietary categories,.na,.na,Number of prevalent (≥ 20%) EltonTraits dietary categories consumed,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
trophic_level,NA,NA,NA,categorical,.na,1: herbivore 2: omnivore 3: carnivore,.na,.na,Trophic level of the species,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
foraging_stratum,NA,NA,NA,categorical,.na,"M: marine, G: ground level, including aquatic foraging, S: scansorial, Ar: arboreal, A: aerial",.na,.na,Assignment to one of five foraging stratum categories,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
activity_cycle,NA,NA,NA,categorical,.na,"1: nocturnal only, 2: nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular, 3: diurnal only",.na,.na,Activity cycle of each species,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
freshwater,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species spends a significant amount of time in freshwater bodies,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
marine,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species spends a significant amount of time in oceans and/or seas,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
terrestrial_non-volant,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species spends a significant amount of time on land,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
terrestrial_volant,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,The species is capable of powered flight and spends a significant amount of time flying in the air,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
upper_elevation_m,NA,NA,NA,numeric,m,.na,NA,NA,Upper elevation limit at which the species can be found in meters,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
lower_elevation_m,NA,NA,NA,numeric,m,.na,NA,NA,Lower elevation limit at which the species can be found in meters,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
altitude_breadth_m,NA,NA,NA,numeric,m,.na,NA,NA,Difference between the upper and lower elevation limits of a species in meters,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
island_dwelling,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,20% or more of the breeding range occurs on an island,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
island_endemicity,NA,NA,NA,categorical,.na,"Exclusively marine, Occurs on mainland, Occurs on large land bridge islands: the species occurs on islands greater than 1,000 km2 that are separated from the mainland by water no more than 110 m deep. The islands would have been part of the mainland during the last glacial maximum., Occurs on small land bridge islands: the species occurs on islands smaller than 1,000 km2 that are separated from the mainland by water no more than 110 m deep. The islands would have been part of the mainland during the last glacial maximum., Occurs only on isolated islands: the species occurs on islands separated from the mainland by water deeper than 110 m.",.na,.na,Score of island endemicity obtained from species’ ranges and historical and fossil occurrence records,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
dissected_by_mountains,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,Range dissected by mountains (based on elevation gradients with slopes equal or higher than 5 degrees),NA,https://doi.org/10.1002/ecy.3344,Soria_2021
glaciation,NA,NA,NA,categorical,.na,"0 (no), 1 (yes)",.na,.na,"Historical exposure to glaciation, considered as more than 20% range overlap with areas glaciated in the last 21000 years Binary",NA,https://doi.org/10.1002/ecy.3344,Soria_2021
biogeographical_realm,NA,NA,NA,categorical,.na,"Afrotropical, Antarctic, Australasian, Indomalayan, Nearctic, Neotropical, Oceanian, Palearctic",.na,.na,Biogeographical realms in which the species can be encountered,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
habitat_breadth_n,NA,NA,NA,numeric,.na,.na,1,9,Number of distinct suitable level 1 IUCN habitats,NA,https://doi.org/10.1002/ecy.3344,Soria_2021
Sexual dimorphism in size,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of sexual dimorphism in size,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Head body length (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,The length from tip of nose to anus,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Tail length (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,Length of the tail,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Forearm length (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,Length of the forearm,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hind foot length (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,Length of the hindfoot,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Total length (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,Total length of the body,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing length (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,Length of the wing,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing area (F/M/U),NA,NA,NA,numeric,cm²,.na,NA,NA,Area of the two wings,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wingspan (F/M/U),NA,NA,NA,numeric,mm,.na,NA,NA,Distance between the wingtips when wings are extended,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing aspect ratio (F/M/U),NA,NA,NA,numeric,.na,.na,NA,NA,The square of the wingspan divided by the wing area,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Wing loading (F/M/U),NA,NA,NA,numeric,N/m²,.na,NA,NA,The weight divided by the wing area,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Dental formula,NA,NA,NA,character,.na,In-nCn-nPn-nMn-n,.na,.na,Dental formula of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Number of teeth,NA,NA,NA,numeric,.na,.na,NA,NA,Number of teeth of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Body mass (F/M/U),NA,NA,NA,numeric,g,.na,NA,NA,The weight of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Neonatal body mass,NA,NA,NA,numeric,g,.na,NA,NA,The body mass of infants,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Neonate head-body length,NA,NA,NA,numeric,mm,.na,NA,NA,The head-body length of infants,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Weaning body mass,NA,NA,NA,numeric,g,.na,NA,NA,The weight of weanlings,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Weaning head-body length,NA,NA,NA,numeric,mm,.na,NA,NA,The head-body length of weanlings,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Polygamy,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Polyandry,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Polygyny,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Monogamy,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Mating system of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Sexual maturity age (F/M/U),NA,NA,NA,numeric,days,.na,NA,NA,The age of sexual maturity,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Age of first birth,NA,NA,NA,numeric,days,.na,NA,NA,Age of first litter of females,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Sperm retention,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of sperm retention,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Delayed implantation,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of any lag in the implantation,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Delayed embryonic development,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of any lag in the embryonic period,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Active gestation length,NA,NA,NA,numeric,days,.na,NA,NA,The length of active gestation,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Total gestation length,NA,NA,NA,numeric,days,.na,NA,NA,Total duration of pregnancy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Lactation length,NA,NA,NA,numeric,days,.na,NA,NA,The length of the lactation period,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
